I0925 17:53:26.451659       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
I0925 17:53:26.451714       1 resolver.go:111] Model resolved via default
I0925 17:53:26.451928      84 server.go:1580] Starting language server process with pid 1786657
I0925 17:53:26.452719      84 server.go:1631] Language server version: 1.2.11
I0925 17:53:26.452762      84 server.go:615] Language server will attempt to listen on host localhost
I0925 17:53:26.453491      84 server.go:630] Language server listening on random port at 35023 for HTTPS (gRPC)
I0925 17:53:26.453932      84 server.go:638] Language server listening on random port at 38349 for HTTP
W0925 17:53:26.594319     137 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.594390     137 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0925 17:53:26.596243     137 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0925 17:53:26.596298     137 model_configs.go:226] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0925 17:53:26.604113     143 store_client.go:697] summary store: starting background reconciliation (trigger=startup)
W0925 17:53:26.605556      84 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.605602      84 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:26.605703      84 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.605722      84 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:26.605955     167 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.605994     167 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:26.606060     167 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.606074     167 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:26.606144      84 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.606176      84 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:26.606232      84 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.606259      84 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:26.606314      84 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.606326      84 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:26.606367      84 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.606385      84 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:26.606585      84 server.go:2041] failed to start projects watcher: failed to create watcher: couldn't initialize inotify: too many open files
